FlightIndex,FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,num_connecting_pax
90,AA1207,Y,RDU,DFW,1720,1820,1040,1100,1715,1817,1035.0,1097.0,2.0,Domestic,0,86,C22,,2016-05-02 18:20:00,2016-05-02 22:00:00,2016-05-02 18:17:00,2016-05-02 21:52:00,1400,120,2016-05-02 23:17,2016-05-03 01:52,N426AA,64
91,AA1209,Y,SMF,DFW,0905,1035,545,635,0905,1136,545.0,696.0,2.0,Domestic,0,0,A8,,2016-05-02 10:35:00,2016-05-02 12:19:00,2016-05-02 11:36:00,2016-05-02 13:11:00,935,1159,2016-05-02 16:36,2016-05-02 20:11,N821NN,150
92,AA1210,Y,MSP,DFW,0930,1025,570,625,0904,1042,544.0,642.0,2.0,Domestic,0,92,C24,,2016-05-02 10:25:00,2016-05-02 12:46:00,2016-05-02 10:42:00,2016-05-02 12:48:00,925,1066,2016-05-02 15:42,2016-05-02 17:48,N984TW,58
93,AA1210,N,DFW,MSP,1610,1640,970,1000,1611,1824,971.0,1104.0,2.0,Domestic,105,0,,C24,2016-05-02 13:38:00,2016-05-02 16:10:00,2016-05-02 13:32:00,2016-05-02 16:11:00,1118,1270,2016-05-02 18:32,2016-05-02 21:11,N984TW,45
94,AA1211,Y,BOS,DFW,0535,0705,335,425,0535,0706,335.0,426.0,2.0,Domestic,0,104,A29,,2016-05-02 07:05:00,2016-05-02 11:46:00,2016-05-02 07:06:00,2016-05-02 11:55:00,725,946,2016-05-02 12:06,2016-05-02 15:55,N978AN,46
95,AA1212,Y,MCO,DFW,1340,1445,820,885,1342,1443,822.0,883.0,2.0,Domestic,0,99,A15,,2016-05-02 14:45:00,2016-05-02 18:17:00,2016-05-02 14:43:00,2016-05-02 18:14:00,1185,1337,2016-05-02 19:43,2016-05-02 22:14,N154AA,51
96,AA1212,N,DFW,MCO,2110,2140,1270,1300,0241,2140,161.0,1300.0,2.0,Domestic,106,0,,A9,2016-05-02 19:14:00,2016-05-02 21:10:00,2016-05-03 01:07:00,2016-05-03 02:41:00,1394,130,2016-05-03 05:07,2016-05-03 07:41,N154AA,44
97,AA1213,Y,SAT,DFW,0735,0825,455,505,0741,0825,461.0,505.0,2.0,Domestic,0,87,C31,,2016-05-02 08:25:00,2016-05-02 09:30:00,2016-05-02 08:25:00,2016-05-02 09:31:00,805,870,2016-05-02 13:25,2016-05-02 14:31,N9403W,63
98,AA1213,N,DFW,SAT,1125,1215,685,735,1107,1213,667.0,733.0,2.0,Domestic,59,0,,C10,2016-05-02 10:12:00,2016-05-02 11:25:00,2016-05-02 10:04:00,2016-05-02 11:07:00,912,985,2016-05-02 15:04,2016-05-02 16:07,N9403W,91
99,AA1214,Y,SAN,DFW,1614,1720,974,1040,1626,1717,986.0,1037.0,2.0,Domestic,0,105,A16,,2016-05-02 17:20:00,2016-05-02 18:30:00,2016-05-02 17:17:00,2016-05-02 18:33:00,1340,90,2016-05-02 22:17,2016-05-03 01:33,N151AN,45
100,AA1217,N,DFW,DAY,0754,0824,474,504,0850,1033,530.0,633.0,2.0,Domestic,10,0,,C16,2016-05-02 06:15:00,2016-05-02 07:54:00,2016-05-02 06:13:00,2016-05-02 08:50:00,615,774,2016-05-02 10:13,2016-05-02 13:50,N9616G,140
