FlightIndex,FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,num_connecting_pax,OptDepGate,OptArrGate
992,AA465,Y,PHX,DFW,430,600,270,360,430,604,270.0,364.0,2.0,Domestic,0,149,C35,,2016-05-02 06:00:00,2016-05-02 06:34:00,2016-05-02 06:04:00,2016-05-02 06:45:00,660,814,2016-05-02 11:04,2016-05-02 13:45,N170US,1,,
993,AA475,Y,SFO,DFW,1915,2035,1155,1235,1904,2028,1144.0,1228.0,2.0,Domestic,0,93,C37,,2016-05-02 20:35:00,2016-05-02 22:28:00,2016-05-02 20:28:00,2016-05-02 22:43:00,95,328,2016-05-03 01:28,2016-05-03 05:43,N191UW,57,,
994,AA48,N,DFW,PHX,1140,1230,700,750,1127,1224,687.0,744.0,2.0,,85,0,,A11,2016-05-02 07:15:00,2016-05-02 11:40:00,2016-05-02 07:12:00,2016-05-02 11:27:00,855,1000,2016-05-02 14:12,2016-05-02 16:27,N859NN,65,,
995,AA495,Y,PHX,DFW,655,825,415,505,655,821,415.0,501.0,2.0,Domestic,0,104,C33,,2016-05-02 08:25:00,2016-05-02 08:59:00,2016-05-02 08:21:00,2016-05-02 08:49:00,805,959,2016-05-02 13:21,2016-05-02 15:49,N584UW,46,,
996,AA50,N,DFW,STL,1429,1525,869,925,1417,1524,857.0,924.0,2.0,,121,0,,C12,2016-05-02 12:35:00,2016-05-02 14:29:00,2016-05-02 12:33:00,2016-05-02 14:17:00,1055,1169,2016-05-02 17:33,2016-05-02 19:17,N979TW,29,,
997,AA51,Y,STL,DFW,1345,1530,825,930,1353,1524,833.0,924.0,2.0,Domestic,0,114,C29,,2016-05-02 15:30:00,2016-05-02 17:11:00,2016-05-02 15:24:00,2016-05-02 17:02:00,1230,1331,2016-05-02 20:24,2016-05-02 22:02,N438AA,36,,
998,AA524,Y,PHX,DFW,1329,1505,809,905,1317,,797.0,,2.0,Domestic,0,116,C39,,2016-05-02 15:05:00,2016-05-02 15:42:00,,,1205,1362,,,N165US,34,,
999,AA542,Y,PHX,DFW,916,1030,556,630,911,1026,551.0,626.0,2.0,Domestic,0,64,C36,,2016-05-02 10:30:00,2016-05-02 11:10:00,2016-05-02 10:26:00,2016-05-02 11:05:00,930,1090,2016-05-02 15:26,2016-05-02 18:05,N152UW,86,,
1000,AA542,N,DFW,PHX,916,1030,556,630,911,1026,551.0,626.0,2.0,Domestic,85,0,,C36,2016-05-02 05:00:00,2016-05-02 09:16:00,2016-05-02 04:53:00,2016-05-02 09:11:00,720,856,2016-05-02 11:53,2016-05-02 14:11,N152UW,65,,
1001,AA543,N,DFW,PHL,1215,1315,735,795,1209,1316,729.0,796.0,2.0,,125,0,,C36,2016-05-02 09:36:00,2016-05-02 12:15:00,2016-05-02 09:29:00,2016-05-02 12:09:00,816,1035,2016-05-02 13:29,2016-05-02 17:09,N521UW,25,,
1002,AA544,Y,PHX,DFW,1646,1745,1006,1065,1656,1746,1016.0,1066.0,2.0,Domestic,0,121,C31,,2016-05-02 17:45:00,2016-05-02 18:20:00,2016-05-02 17:46:00,2016-05-02 18:27:00,1365,80,2016-05-02 22:46,2016-05-03 01:27,N207UW,29,,
1003,AA544,N,DFW,PHX,1646,1745,1006,1065,1656,1746,1016.0,1066.0,2.0,Domestic,129,0,,C31,2016-05-02 12:25:00,2016-05-02 16:46:00,2016-05-02 12:26:00,2016-05-02 16:56:00,1165,1306,2016-05-02 19:26,2016-05-02 21:56,N207UW,21,,
1004,AA545,N,DFW,PHX,2313,2343,1393,1423,2257,2343,1377.0,1423.0,,,0,0,,C39,2016-05-02 18:52:00,2016-05-02 23:13:00,2016-05-02 18:47:00,2016-05-02 22:57:00,112,253,2016-05-03 01:47,2016-05-03 03:57,N190UW,0,,
1005,AA546,Y,PHX,DFW,1913,2020,1153,1220,1914,2016,1154.0,1216.0,2.0,Domestic,0,113,C36,,2016-05-02 20:20:00,2016-05-02 21:00:00,2016-05-02 20:16:00,2016-05-02 20:49:00,80,240,2016-05-03 01:16,2016-05-03 03:49,N586UW,37,,
1006,AA549,N,DFW,PHX,1042,1150,642,710,1030,1151,630.0,711.0,2.0,,72,0,,C31,2016-05-02 06:25:00,2016-05-02 10:42:00,2016-05-02 06:20:00,2016-05-02 10:30:00,805,942,2016-05-02 13:20,2016-05-02 15:30,N205UW,78,,
1007,AA550,Y,CLT,DFW,1748,1855,1068,1135,1741,1851,1061.0,1131.0,2.0,Domestic,0,125,C39,,2016-05-02 18:55:00,2016-05-02 22:31:00,2016-05-02 18:51:00,2016-05-02 22:10:00,1435,151,2016-05-02 23:51,2016-05-03 02:10,N173US,25,,
1008,AA550,N,DFW,PHX,1748,1855,1068,1135,1741,1851,1061.0,1131.0,2.0,Domestic,116,0,,C39,2016-05-02 13:30:00,2016-05-02 17:48:00,2016-05-02 13:32:00,2016-05-02 17:41:00,1230,1368,2016-05-02 20:32,2016-05-02 22:41,N173US,34,,
1009,AA551,Y,LAS,DFW,1924,2035,1164,1235,1922,2029,1162.0,1229.0,2.0,Domestic,0,119,C39,,2016-05-02 20:35:00,2016-05-02 21:35:00,2016-05-02 20:29:00,2016-05-02 21:25:00,95,275,2016-05-03 01:29,2016-05-03 04:25,N537UW,31,,
1010,AA551,N,DFW,PHX,1924,2035,1164,1235,1922,2029,1162.0,1229.0,2.0,Domestic,100,0,,C39,2016-05-02 15:05:00,2016-05-02 19:24:00,2016-05-02 15:01:00,2016-05-02 19:22:00,1325,24,2016-05-02 22:01,2016-05-03 00:22,N537UW,50,,
1011,AA560,N,DFW,PHX,1444,1545,884,945,1441,1539,881.0,939.0,2.0,,112,0,,C37,2016-05-02 10:19:00,2016-05-02 14:44:00,2016-05-02 10:16:00,2016-05-02 14:41:00,1039,1184,2016-05-02 17:16,2016-05-02 19:41,N545UW,38,,
1012,AA5622,N,DFW,GRK,1116,1210,676,730,1130,1212,690.0,732.0,3.0,,75,0,,B25,2016-05-02 10:16:00,2016-05-02 11:16:00,2016-05-02 10:41:00,2016-05-02 11:30:00,916,976,2016-05-02 15:41,2016-05-02 16:30,N948LR,0,,
1013,AA5623,N,DFW,CAE,1753,1850,1073,1130,1847,1940,1127.0,1180.0,3.0,,75,0,,B28,2016-05-02 15:49:00,2016-05-02 17:53:00,2016-05-02 16:49:00,2016-05-02 18:47:00,1189,1373,2016-05-02 20:49,2016-05-02 23:47,N924FJ,0,,
1014,AA5624,Y,GDL,DFW,1708,1840,1028,1120,1707,1840,1027.0,1120.0,,,0,0,B3,,2016-05-02 18:40:00,2016-05-02 21:23:00,2016-05-02 18:40:00,2016-05-02 21:17:00,1420,143,2016-05-02 23:40,2016-05-03 02:17,N944LR,0,,
1015,AA5625,N,DFW,CID,1519,1600,919,960,1509,1551,909.0,951.0,3.0,,75,0,,B26,2016-05-02 13:02:00,2016-05-02 15:19:00,2016-05-02 13:00:00,2016-05-02 15:09:00,1082,1219,2016-05-02 18:00,2016-05-02 20:09,N916FJ,0,,
1016,AA5626,Y,LIT,DFW,1249,1415,769,855,1249,1420,769.0,860.0,3.0,Domestic,0,75,B4,,2016-05-02 14:15:00,2016-05-02 15:26:00,2016-05-02 14:20:00,2016-05-02 15:29:00,1155,1226,2016-05-02 19:20,2016-05-02 20:29,N956LR,0,,
1017,AA5626,N,DFW,LIT,1729,1830,1049,1110,1715,1827,1035.0,1107.0,3.0,Domestic,75,0,,B40,2016-05-02 16:06:00,2016-05-02 17:29:00,2016-05-02 16:01:00,2016-05-02 17:15:00,1266,1349,2016-05-02 21:01,2016-05-02 22:15,N956LR,0,,
1018,AA5629,Y,JAN,DFW,2002,2045,1202,1245,1950,2039,1190.0,1239.0,3.0,Domestic,0,75,B49,,2016-05-02 20:45:00,2016-05-02 22:08:00,2016-05-02 20:39:00,2016-05-02 22:04:00,105,188,2016-05-03 01:39,2016-05-03 03:04,N953LR,0,,
1019,AA5631,Y,CAE,DFW,1104,1155,664,715,1052,1236,652.0,756.0,3.0,Domestic,0,75,B47,,2016-05-02 11:55:00,2016-05-02 15:19:00,2016-05-02 12:36:00,2016-05-02 15:56:00,1015,1159,2016-05-02 17:36,2016-05-02 19:56,N924FJ,0,,
1020,AA5632,Y,CAE,DFW,1738,1820,1058,1100,1727,1942,1047.0,1182.0,3.0,Domestic,0,75,B29,,2016-05-02 18:20:00,2016-05-02 21:43:00,2016-05-02 19:42:00,2016-05-02 22:58:00,1400,103,2016-05-03 00:42,2016-05-03 02:58,N902FJ,0,,
1021,AA5633,Y,ELP,DFW,1610,1720,970,1040,1601,1719,961.0,1039.0,3.0,Domestic,0,75,B41,,2016-05-02 17:20:00,2016-05-02 18:05:00,2016-05-02 17:19:00,2016-05-02 17:56:00,1340,5,2016-05-02 22:19,2016-05-02 23:56,N918FJ,0,,
1022,AA5636,Y,ELP,DFW,1229,1340,749,820,1216,1338,736.0,818.0,3.0,Domestic,0,75,B6,,2016-05-02 13:40:00,2016-05-02 14:22:00,2016-05-02 13:38:00,2016-05-02 14:17:00,1120,1222,2016-05-02 18:38,2016-05-02 20:17,N911FJ,0,,
1023,AA5639,N,DFW,ICT,949,1045,589,645,959,1048,599.0,648.0,3.0,,75,0,,B4,2016-05-02 08:21:00,2016-05-02 09:49:00,2016-05-02 08:38:00,2016-05-02 09:59:00,801,889,2016-05-02 13:38,2016-05-02 14:59,N927LR,0,,
1024,AA5640,Y,ICT,DFW,1729,1830,1049,1110,1715,1827,1035.0,1107.0,3.0,Domestic,0,75,B40,,2016-05-02 18:30:00,2016-05-02 19:47:00,2016-05-02 18:27:00,2016-05-02 19:35:00,1410,47,2016-05-02 23:27,2016-05-03 00:35,N956LR,0,,
1025,AA5644,Y,LBB,DFW,929,1055,569,655,935,1054,575.0,654.0,3.0,Domestic,0,75,B28,,2016-05-02 10:55:00,2016-05-02 12:07:00,2016-05-02 10:54:00,2016-05-02 12:12:00,955,1027,2016-05-02 15:54,2016-05-02 17:12,N247LR,0,,
1026,AA5645,N,DFW,COS,1315,1420,795,860,1335,1440,815.0,880.0,3.0,Domestic,75,0,,B40,2016-05-02 10:20:00,2016-05-02 13:15:00,2016-05-02 10:50:00,2016-05-02 13:35:00,980,1095,2016-05-02 16:50,2016-05-02 18:35,N902FJ,0,,
1027,AA5645,Y,COS,DFW,745,855,465,535,822,921,502.0,561.0,3.0,Domestic,0,75,B9,,2016-05-02 08:55:00,2016-05-02 09:50:00,2016-05-02 09:21:00,2016-05-02 10:15:00,835,950,2016-05-02 14:21,2016-05-02 16:15,N902FJ,0,,
1028,AA5646,N,DFW,JAN,758,828,478,508,802,1107,482.0,667.0,3.0,,75,0,,B25,2016-05-02 06:15:00,2016-05-02 07:58:00,2016-05-02 06:16:00,2016-05-02 08:02:00,675,778,2016-05-02 11:16,2016-05-02 13:02,N241LR,0,,
1029,AA5647,Y,GRK,DFW,749,850,469,530,830,902,510.0,542.0,3.0,Domestic,0,75,B41,,2016-05-02 08:50:00,2016-05-02 09:45:00,2016-05-02 09:02:00,2016-05-02 10:17:00,830,885,2016-05-02 14:02,2016-05-02 15:17,N948LR,0,,
1030,AA5648,N,DFW,MSN,2103,2150,1263,1310,2045,2147,1245.0,1307.0,3.0,,75,0,,B4,2016-05-02 18:28:00,2016-05-02 21:03:00,2016-05-02 18:16:00,2016-05-02 20:45:00,1408,123,2016-05-02 23:16,2016-05-03 01:45,N959LR,0,,
1031,AA5650,Y,GDL,DFW,1030,1200,630,720,1030,1212,630.0,732.0,,,0,0,B26,,2016-05-02 12:00:00,2016-05-02 14:45:00,2016-05-02 12:12:00,2016-05-02 15:02:00,1020,1185,2016-05-02 17:12,2016-05-02 20:02,N249LR,0,,
1032,AA5651,N,DFW,GDL,838,908,518,548,829,1205,509.0,725.0,3.0,,75,0,,B2,2016-05-02 06:00:00,2016-05-02 08:38:00,2016-05-02 05:52:00,2016-05-02 08:29:00,660,818,2016-05-02 10:52,2016-05-02 13:29,N329MS,0,,
1033,AA5656,Y,ICT,DFW,1040,1210,640,730,1040,1205,640.0,725.0,3.0,Domestic,0,75,B2,,2016-05-02 12:10:00,2016-05-02 13:29:00,2016-05-02 12:05:00,2016-05-02 13:19:00,1030,1109,2016-05-02 17:05,2016-05-02 18:19,N329MS,0,,
1034,AA5656,N,DFW,ICT,1554,1624,954,984,1543,1842,943.0,1122.0,3.0,Domestic,75,0,,B43,2016-05-02 14:26:00,2016-05-02 15:54:00,2016-05-02 14:22:00,2016-05-02 15:43:00,1166,1254,2016-05-02 19:22,2016-05-02 20:43,N329MS,0,,
1035,AA5657,N,DFW,GDL,1708,1840,1028,1120,1707,1840,1027.0,1120.0,,,0,0,,B3,2016-05-02 14:30:00,2016-05-02 17:08:00,2016-05-02 14:30:00,2016-05-02 17:07:00,1170,1328,2016-05-02 19:30,2016-05-02 22:07,N944LR,0,,
1036,AA5659,Y,HSV,DFW,619,700,379,420,622,659,382.0,419.0,3.0,Domestic,0,75,B42,,2016-05-02 07:00:00,2016-05-02 08:49:00,2016-05-02 06:59:00,2016-05-02 08:57:00,720,829,2016-05-02 11:59,2016-05-02 13:57,N246LR,0,,
1037,AA565,N,DFW,CLT,954,1140,594,700,1004,1131,604.0,691.0,2.0,,105,0,,C37,2016-05-02 08:00:00,2016-05-02 09:54:00,2016-05-02 07:48:00,2016-05-02 10:04:00,720,894,2016-05-02 11:48,2016-05-02 15:04,N915US,45,,
1038,AA5664,N,DFW,HSV,1122,1210,682,730,1124,1212,684.0,732.0,3.0,,75,0,,B40,2016-05-02 09:20:00,2016-05-02 11:22:00,2016-05-02 09:21:00,2016-05-02 11:24:00,860,982,2016-05-02 14:21,2016-05-02 16:24,N246LR,0,,
1039,AA5665,Y,IAH,DFW,1211,1300,731,780,1227,1305,747.0,785.0,3.0,Domestic,0,75,B29,,2016-05-02 13:00:00,2016-05-02 14:08:00,2016-05-02 13:05:00,2016-05-02 14:20:00,1080,1148,2016-05-02 18:05,2016-05-02 19:20,N918FJ,0,,
1040,AA5670,Y,CVG,DFW,1116,1210,676,730,1130,1212,690.0,732.0,3.0,Domestic,0,75,B25,,2016-05-02 12:10:00,2016-05-02 15:30:00,2016-05-02 12:12:00,2016-05-02 15:11:00,1030,1170,2016-05-02 17:12,2016-05-02 19:11,N948LR,0,,
1041,AA5671,N,DFW,IAH,1610,1720,970,1040,1601,1719,961.0,1039.0,3.0,,75,0,,B41,2016-05-02 14:50:00,2016-05-02 16:10:00,2016-05-02 14:51:00,2016-05-02 16:01:00,1190,1270,2016-05-02 19:51,2016-05-02 21:01,N918FJ,0,,
1042,AA5681,Y,OKC,DFW,1516,1625,916,985,1510,1621,910.0,981.0,3.0,Domestic,0,75,B25,,2016-05-02 16:25:00,2016-05-02 17:21:00,2016-05-02 16:21:00,2016-05-02 17:11:00,1285,1341,2016-05-02 21:21,2016-05-02 22:11,N952LR,0,,
1043,AA5682,N,DFW,OKC,1910,2010,1150,1210,1904,2002,1144.0,1202.0,3.0,,75,0,,B47,2016-05-02 18:05:00,2016-05-02 19:10:00,2016-05-02 17:57:00,2016-05-02 19:04:00,1385,10,2016-05-02 22:57,2016-05-03 00:04,N952LR,0,,
1044,AA5683,N,DFW,CAE,941,1011,581,611,,1011,,611.0,,,0,0,,B7,2016-05-02 07:42:00,2016-05-02 09:41:00,,,702,881,,,N903FJ,0,,
1045,AA5685,Y,GDL,DFW,755,900,475,540,733,938,453.0,578.0,3.0,,0,75,B12,,2016-05-02 09:00:00,2016-05-02 11:44:00,2016-05-02 09:38:00,2016-05-02 12:11:00,840,1004,2016-05-02 14:38,2016-05-02 17:11,N938LR,0,,
1046,AA5685,N,DFW,GDL,1514,1605,914,965,1539,1626,939.0,986.0,3.0,,75,0,,B3,2016-05-02 12:36:00,2016-05-02 15:14:00,2016-05-02 13:22:00,2016-05-02 15:39:00,1056,1214,2016-05-02 18:22,2016-05-02 20:39,N938LR,0,,
1047,AA5690,Y,IAH,DFW,1818,2003,1098,1203,1833,2000,1113.0,1200.0,3.0,Domestic,0,75,B2,,2016-05-02 20:03:00,2016-05-02 21:15:00,2016-05-02 20:00:00,2016-05-02 21:09:00,63,135,2016-05-03 01:00,2016-05-03 02:09,N242LR,0,,
1048,AA5691,N,DFW,COS,1503,1533,903,933,,1716,,1036.0,3.0,,75,0,,B41,2016-05-02 12:08:00,2016-05-02 15:03:00,,,1088,1203,,,N914FJ,0,,
