FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,EnterGateTime,ExitGateTime,OptDepGate,OptArrGate
AA2508,Y,BWI,DFW,535,705,335,425,535,717,335.0,437.0,2.0,Domestic,0,150,A19,,2016-05-02 07:05:00,2016-05-02 11:07:00,2016-05-02 07:17:00,2016-05-02 11:20:00,2016-05-02 12:05,2016-05-02 15:07,2016-05-02 12:17,2016-05-02 15:20,N903AN,335,425,A21,
AA2255,Y,MCO,DFW,535,705,335,425,535,702,335.0,422.0,2.0,Domestic,0,150,A16,,2016-05-02 07:05:00,2016-05-02 10:43:00,2016-05-02 07:02:00,2016-05-02 10:31:00,2016-05-02 12:05,2016-05-02 14:43,2016-05-02 12:02,2016-05-02 14:31,N959NN,335,425,A34,
AA2488,Y,TPA,DFW,535,705,335,425,535,703,335.0,423.0,2.0,Domestic,0,150,C30,,2016-05-02 07:05:00,2016-05-02 10:31:00,2016-05-02 07:03:00,2016-05-02 10:37:00,2016-05-02 12:05,2016-05-02 14:31,2016-05-02 12:03,2016-05-02 14:37,N9630A,335,425,B12,
AA1302,Y,FLL,DFW,540,710,340,430,540,707,340.0,427.0,2.0,Domestic,0,150,A18,,2016-05-02 07:10:00,2016-05-02 10:59:00,2016-05-02 07:07:00,2016-05-02 10:43:00,2016-05-02 12:10,2016-05-02 14:59,2016-05-02 12:07,2016-05-02 14:43,N840NN,340,430,B9,
AA952,Y,EWR,DFW,540,710,340,430,540,711,340.0,431.0,2.0,Domestic,0,150,A17,,2016-05-02 07:10:00,2016-05-02 11:38:00,2016-05-02 07:11:00,2016-05-02 11:37:00,2016-05-02 12:10,2016-05-02 15:38,2016-05-02 12:11,2016-05-02 15:37,N924AN,340,430,A11,
AA2603,Y,ATL,DFW,540,710,340,430,540,708,340.0,428.0,2.0,Domestic,0,150,C22,,2016-05-02 07:10:00,2016-05-02 10:18:00,2016-05-02 07:08:00,2016-05-02 10:11:00,2016-05-02 12:10,2016-05-02 14:18,2016-05-02 12:08,2016-05-02 14:11,N9615W,340,430,A23,
AA1062,Y,MCI,DFW,540,710,340,430,540,707,340.0,427.0,2.0,Domestic,0,150,C27,,2016-05-02 07:10:00,2016-05-02 08:46:00,2016-05-02 07:07:00,2016-05-02 08:31:00,2016-05-02 12:10,2016-05-02 13:46,2016-05-02 12:07,2016-05-02 13:31,N9620D,340,430,C31,
AA1298,Y,SNA,DFW,545,715,345,435,545,710,345.0,430.0,2.0,Domestic,0,150,A14,,2016-05-02 07:15:00,2016-05-02 08:32:00,2016-05-02 07:10:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 15:32,2016-05-02 12:10,2016-05-02 15:31,N953NN,345,435,A10,
AA1375,Y,LAS,DFW,545,715,345,435,545,712,345.0,432.0,2.0,Domestic,0,150,C21,,2016-05-02 07:15:00,2016-05-02 08:16:00,2016-05-02 07:12:00,2016-05-02 08:24:00,2016-05-02 12:15,2016-05-02 15:16,2016-05-02 12:12,2016-05-02 15:24,N991AN,345,435,C20,
AA3189,Y,VPS,DFW,545,715,345,435,545,710,345.0,430.0,3.0,Domestic,0,75,B12,,2016-05-02 07:15:00,2016-05-02 09:16:00,2016-05-02 07:10:00,2016-05-02 09:30:00,2016-05-02 12:15,2016-05-02 14:16,2016-05-02 12:10,2016-05-02 14:30,N225NN,345,435,C35,
AA1252,Y,PIT,DFW,545,715,345,435,545,711,345.0,431.0,2.0,Domestic,0,150,C2,,2016-05-02 07:15:00,2016-05-02 10:54:00,2016-05-02 07:11:00,2016-05-02 10:59:00,2016-05-02 12:15,2016-05-02 14:54,2016-05-02 12:11,2016-05-02 14:59,N484AA,345,435,A24,
AA2491,Y,SAN,DFW,545,710,345,430,602,714,362.0,434.0,2.0,Domestic,0,150,A15,,2016-05-02 07:10:00,2016-05-02 08:20:00,2016-05-02 07:14:00,2016-05-02 08:43:00,2016-05-02 12:10,2016-05-02 15:20,2016-05-02 12:14,2016-05-02 15:43,N143AN,345,430,B7,
AA2532,Y,MSP,DFW,545,715,345,435,545,709,345.0,429.0,2.0,Domestic,0,150,C10,,2016-05-02 07:15:00,2016-05-02 09:37:00,2016-05-02 07:09:00,2016-05-02 09:33:00,2016-05-02 12:15,2016-05-02 14:37,2016-05-02 12:09,2016-05-02 14:33,N467AA,345,435,B40,
AA185,N,DFW,LAS,545,710,345,430,602,714,362.0,434.0,2.0,,150,0,,A15,2016-05-02 00:58:00,2016-05-02 05:45:00,2016-05-02 00:58:00,2016-05-02 06:02:00,2016-05-02 07:58,2016-05-02 10:45,2016-05-02 07:58,2016-05-02 11:02,N143AN,345,430,,B7
AA2332,Y,ORD,DFW,600,730,360,450,600,741,360.0,461.0,2.0,Domestic,0,150,C20,,2016-05-02 07:30:00,2016-05-02 09:53:00,2016-05-02 07:41:00,2016-05-02 09:57:00,2016-05-02 12:30,2016-05-02 14:53,2016-05-02 12:41,2016-05-02 14:57,N481AA,360,450,B10,
AA614,Y,PHX,DFW,600,705,360,425,605,702,365.0,422.0,2.0,Domestic,0,150,C37,,2016-05-02 07:05:00,2016-05-02 07:45:00,2016-05-02 07:02:00,2016-05-02 07:45:00,2016-05-02 12:05,2016-05-02 14:45,2016-05-02 12:02,2016-05-02 14:45,N179UW,360,425,C24,
AA306,Y,IND,DFW,600,730,360,450,600,727,360.0,447.0,2.0,Domestic,0,150,C17,,2016-05-02 07:30:00,2016-05-02 10:35:00,2016-05-02 07:27:00,2016-05-02 10:44:00,2016-05-02 12:30,2016-05-02 14:35,2016-05-02 12:27,2016-05-02 14:44,N483A,360,450,A33,
AA1104,Y,LGA,DFW,600,730,360,450,600,731,360.0,451.0,2.0,Domestic,0,150,A10,,2016-05-02 07:30:00,2016-05-02 11:55:00,2016-05-02 07:31:00,2016-05-02 11:55:00,2016-05-02 12:30,2016-05-02 15:55,2016-05-02 12:31,2016-05-02 15:55,N920AN,360,450,C33,
AA614,N,DFW,SFO,600,705,360,425,605,702,365.0,422.0,2.0,Domestic,150,0,,C37,2016-05-02 00:25:00,2016-05-02 06:00:00,2016-05-02 00:23:00,2016-05-02 06:05:00,2016-05-02 07:25,2016-05-02 11:00,2016-05-02 07:23,2016-05-02 11:05,N179UW,360,425,,C24
AA2275,Y,DSM,DFW,600,730,360,450,600,749,360.0,469.0,2.0,Domestic,0,150,C24,,2016-05-02 07:30:00,2016-05-02 09:19:00,2016-05-02 07:49:00,2016-05-02 09:27:00,2016-05-02 12:30,2016-05-02 14:19,2016-05-02 12:49,2016-05-02 14:27,N9621A,360,450,C8,
